Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
hCoV-19/Austria/CeMM0012/2020,EPI_ISL_419665,GISAID, ,Complete,29858,High,1/1/7/0/NO,Homo Sapiens,2020-03-10,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Austria/CeMM0013/2020,EPI_ISL_419666,GISAID, ,Complete,29859,High,0/1/7/0/NO,Homo Sapiens,2020-03-11,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Austria/CeMM0016/2020,EPI_ISL_419669,GISAID, ,Complete,29873,High,1/0/7/0/NO,Homo Sapiens,2020-03-16,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Austria/CeMM0017/2020,EPI_ISL_419670,GISAID, ,Complete,29857,High,3/0/6/0/NO,Homo Sapiens,2020-03-16,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Austria/CeMM0018/2020,EPI_ISL_419671,GISAID, ,Complete,29858,High,"0/2/10/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-19,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Austria/CeMM0019/2020,EPI_ISL_419672,GISAID, ,Complete,29855,High,"1/0/9/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-19,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Austria/CeMM0020/2020,EPI_ISL_419673,GISAID, ,Complete,29854,High,0/2/7/0/NO,Homo Sapiens,2020-03-22,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Austria/CeMM0021/2020,EPI_ISL_419674,GISAID, ,Complete,29855,High,0/0/6/0/NO,Homo Sapiens,2020-03-24,Austria,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",2020-04-03,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"
hCoV-19/Spain/Valencia11/2020,EPI_ISL_419675,GISAID, ,Complete,29782,High,0/0/3/0/NO,Homo Sapiens,2020-03-20,Spain / Comunitat Valenciana / Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health ,2020-04-03,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health 
hCoV-19/Spain/Valencia12/2020,EPI_ISL_419676,GISAID, ,Complete,29782,High,0/0/7/0/NO,Homo Sapiens,2020-03-09,Spain / Comunitat Valenciana / Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health ,2020-04-03,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health 
hCoV-19/Spain/Valencia13/2020,EPI_ISL_419677,GISAID, ,Complete,29782,High,0/0/5/0/NO,Homo Sapiens,2020-03-09,Spain / Comunitat Valenciana / Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health ,2020-04-03,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health 
hCoV-19/Spain/Valencia14/2020,EPI_ISL_419678,GISAID, ,Complete,29782,High,0/0/8/0/NO,Homo Sapiens,2020-03-09,Spain / Comunitat Valenciana / Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health ,2020-04-03,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health 
hCoV-19/Spain/Valencia15/2020,EPI_ISL_419679,GISAID, ,Complete,29782,High,1/0/8/0/NO,Homo Sapiens,2020-03-02,Spain / Comunitat Valenciana / Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health ,2020-04-03,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health 
hCoV-19/Spain/Valencia16/2020,EPI_ISL_419680,GISAID, ,Complete,29782,High,2/0/5/0/NO,Homo Sapiens,2020-03-10,Spain / Comunitat Valenciana / Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health ,2020-04-03,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health 
hCoV-19/Spain/Valencia17/2020,EPI_ISL_419681,GISAID, ,Complete,29782,High,4/0/5/0/NO,Homo Sapiens,2020-03-10,Spain / Comunitat Valenciana / Valencia,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health ,2020-04-03,Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health 
hCoV-19/Latvia/ChVir2025/2020,EPI_ISL_419691,GISAID, ,Complete,29869,High,0/0/9/0/NO,Homo Sapiens,2020-03,Latvia / Riga,"Charité Universitätsmedizin Berlin, Institute of Virology",2020-04-03,"Charité Universitätsmedizin Berlin, Institute of Virology"
hCoV-19/Belarus/ChVir2072/2020,EPI_ISL_419692,GISAID, ,Complete,29862,High,0/0/8/0/NO,Homo Sapiens,2020-03,Belarus,"Charité Universitätsmedizin Berlin, Institute of Virology",2020-04-03,"Charité Universitätsmedizin Berlin, Institute of Virology"
hCov-19/Belarus/ChVir2073/2020,EPI_ISL_419693,GISAID, ,Complete,29866,High,0/0/6/0/NO,Homo Sapiens,2020-03,Belarus,"Charité Universitätsmedizin Berlin, Institute of Virology",2020-04-03,"Charité Universitätsmedizin Berlin, Institute of Virology"
hCoV-19/USA/NY-NYUMC35/2020,EPI_ISL_419696,GISAID, ,Complete,29903,High,0/0/7/0/NO,Homo Sapiens,2020-03-18,United States / New York / Manhattan,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/NY-NYUMC36/2020,EPI_ISL_419697,GISAID, ,Complete,29903,High,0/0/4/0/NO,Homo Sapiens,2020-03-18,United States / New York / Manhattan,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/NY-NYUMC37/2020,EPI_ISL_419698,GISAID, ,Complete,29903,High,0/0/6/0/NO,Homo Sapiens,2020-03-18,United States / New York / Manhattan,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/NY-NYUMC39/2020,EPI_ISL_419700,GISAID, ,Complete,29903,High,0/0/10/0/NO,Homo Sapiens,2020-03-18,United States / New York / Manhattan,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/NY-NYUMC41/2020,EPI_ISL_419702,GISAID, ,Complete,29903,High,0/0/9/1/NO,Homo Sapiens,2020-03-18,United States / New York / Brooklyn,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/NY-NYUMC42/2020,EPI_ISL_419703,GISAID, ,Complete,29903,High,0/0/9/0/NO,Homo Sapiens,2020-03-18,United States / New York / Manhattan,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/NY-NYUMC43/2020,EPI_ISL_419704,GISAID, ,Complete,29903,High,0/0/8/0/NO,Homo Sapiens,2020-03-18,United States / New York / Manhattan,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/NY-NYUMC44/2020,EPI_ISL_419705,GISAID, ,Complete,29903,High,0/0/9/0/NO,Homo Sapiens,2020-03-18,United States / New York / Manhattan,"Departments of Pathology and Medicine, New York University School of Medicine",2020-04-03,"Departments of Pathology and Medicine, New York University School of Medicine"
hCoV-19/USA/VA-DCLS-0012/2020,EPI_ISL_419706,GISAID, ,Complete,29902,High,0/0/8/0/NO,Homo Sapiens,2020-03-10,United States / Virginia,Division of Consolidated Laboratory Services,2020-04-03,Division of Consolidated Laboratory Services
hCoV-19/Spain/Cataluña201397/2020,EPI_ISL_419707,GISAID, ,Complete,29781,High,0/0/5/0/NO,Homo Sapiens,2020,Spain / Catalonia,Instituto de Salud Carlos III,2020-04-03,Instituto de Salud Carlos III
hCoV-19/USA/VA-DCLS-0014/2020,EPI_ISL_419708,GISAID, ,Complete,29860,High,0/0/9/1/NO,Homo Sapiens,2020-03-12,United States / Virginia,Division of Consolidated Laboratory Services,2020-04-03,Division of Consolidated Laboratory Services
hCoV-19/Spain/PaisVasco201602/2020,EPI_ISL_419709,GISAID, ,Complete,29787,High,0/0/8/0/NO,Homo Sapiens,2020-03-04,Spain / BasqueCountry,Instituto de Salud Carlos III,2020-04-03,Instituto de Salud Carlos III
hCoV-19/USA/VA-DCLS-0016/2020,EPI_ISL_419710,GISAID, ,Complete,29886,High,0/0/9/0/NO,Homo Sapiens,2020-03-12,United States / Virginia,Division of Consolidated Laboratory Services,2020-04-03,Division of Consolidated Laboratory Services
hCoV-19/USA/VA-DCLS-0017/2020,EPI_ISL_419711,GISAID, ,Complete,29866,High,"0/0/7/0/29868~29870(3-2-0.67,SNP:29868; SNP:29870)",Homo Sapiens,2020-03-11,United States / Virginia,Division of Consolidated Laboratory Services,2020-04-03,Division of Consolidated Laboratory Services
hCoV-19/USA/VA-DCLS-0020/2020,EPI_ISL_419712,GISAID, ,Complete,29891,High,0/0/7/0/NO,Homo Sapiens,2020-03-10,United States / Virginia,Division of Consolidated Laboratory Services,2020-04-03,Division of Consolidated Laboratory Services
hCoV-19/USA/VA-DCLS-0021/2020,EPI_ISL_419713,GISAID, ,Complete,29866,High,0/0/7/0/NO,Homo Sapiens,2020-03-11,United States / Virginia,Division of Consolidated Laboratory Services,2020-04-03,Division of Consolidated Laboratory Services
hCoV-19/Australia/VIC108/2020,EPI_ISL_419714,GISAID, ,Complete,29865,High,0/0/12/0/NO,Homo Sapiens,2020-03-18,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC111/2020,EPI_ISL_419715,GISAID, ,Complete,29865,High,0/0/6/0/NO,Homo Sapiens,2020-03-18,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC110/2020,EPI_ISL_419716,GISAID, ,Complete,29900,High,0/0/6/0/NO,Homo Sapiens,2020-03-18,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC115/2020,EPI_ISL_419717,GISAID, ,Complete,29902,High,0/0/6/0/NO,Homo Sapiens,2020-03-19,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC109/2020,EPI_ISL_419718,GISAID, ,Complete,29865,High,"0/0/7/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-18,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC114/2020,EPI_ISL_419725,GISAID, ,Complete,29873,High,0/0/5/0/NO,Homo Sapiens,2020-03-18,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC117/2020,EPI_ISL_419727,GISAID, ,Complete,29865,High,0/0/12/0/NO,Homo Sapiens,2020-03-19,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC126/2020,EPI_ISL_419728,GISAID, ,Complete,29870,High,0/0/10/0/NO,Homo Sapiens,2020-03-20,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC127/2020,EPI_ISL_419729,GISAID, ,Complete,29894,High,"5/0/9/0/6971~6977(7-3-0.43,SNP:6971; SNP:6975; SNP:6977)",Homo Sapiens,2020-03-20,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC128/2020,EPI_ISL_419730,GISAID, ,Complete,29891,High,"0/0/9/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-20,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC123/2020,EPI_ISL_419731,GISAID, ,Complete,29856,High,"0/0/8/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-20,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC129/2020,EPI_ISL_419732,GISAID, ,Complete,29872,High,0/0/2/1/NO,Homo Sapiens,2020-03-21,Australia / Victoria,Microbiological Diagnostic Unit Public Health Laboratory,2020-04-03,Microbiological Diagnostic Unit Public Health Laboratory
hCoV-19/Australia/VIC17/2020,EPI_ISL_419736,GISAID, ,Complete,29865,High,0/0/11/0/NO,Homo Sapiens,2020-03-07,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC18/2020,EPI_ISL_419737,GISAID, ,Complete,29898,High,"0/1/11/0/6971~6977(7-3-0.43,SNP:6971; SNP:6975; SNP:6977)",Homo Sapiens,2020-03-07,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC21/2020,EPI_ISL_419740,GISAID, ,Complete,29899,High,"0/0/10/0/6971~6977(7-3-0.43,SNP:6971; SNP:6975; SNP:6977)",Homo Sapiens,2020-03-09,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC20/2020,EPI_ISL_419741,GISAID, ,Complete,29884,High,0/0/6/0/NO,Homo Sapiens,2020-03-08,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC22/2020,EPI_ISL_419742,GISAID, ,Complete,29868,High,0/0/8/0/NO,Homo Sapiens,2020-03-09,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC23/2020,EPI_ISL_419743,GISAID, ,Complete,29865,High,"0/0/9/0/6971~6977(7-3-0.43,SNP:6971; SNP:6975; SNP:6977)",Homo Sapiens,2020-03-09,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC25/2020,EPI_ISL_419744,GISAID, ,Complete,29888,High,3/0/7/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC26/2020,EPI_ISL_419745,GISAID, ,Complete,29901,High,0/0/3/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC27/2020,EPI_ISL_419746,GISAID, ,Complete,29899,High,0/0/12/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC28/2020,EPI_ISL_419747,GISAID, ,Complete,29891,High,0/0/11/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC29/2020,EPI_ISL_419748,GISAID, ,Complete,29902,High,"0/2/11/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC30/2020,EPI_ISL_419749,GISAID, ,Complete,29871,High,0/0/6/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC31/2020,EPI_ISL_419750,GISAID, ,Complete,29873,High,0/0/6/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC32/2020,EPI_ISL_419751,GISAID, ,Complete,29873,High,0/0/11/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC33/2020,EPI_ISL_419752,GISAID, ,Complete,29865,High,0/0/11/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC34/2020,EPI_ISL_419753,GISAID, ,Complete,29895,High,0/0/9/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC35/2020,EPI_ISL_419755,GISAID, ,Complete,29865,High,0/0/11/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC38/2020,EPI_ISL_419756,GISAID, ,Complete,29865,High,0/1/8/0/NO,Homo Sapiens,2020-03-11,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC39/2020,EPI_ISL_419757,GISAID, ,Complete,29902,High,0/0/9/0/NO,Homo Sapiens,2020-03-11,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC40/2020,EPI_ISL_419758,GISAID, ,Complete,29902,High,0/0/7/0/NO,Homo Sapiens,2020-03-11,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC47/2020,EPI_ISL_419759,GISAID, ,Complete,29887,High,"0/0/10/0/6971~6977(7-3-0.43,SNP:6971; SNP:6975; SNP:6977)",Homo Sapiens,2020-03-12,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC41/2020,EPI_ISL_419760,GISAID, ,Complete,29899,High,0/0/8/0/NO,Homo Sapiens,2020-03-11,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC42/2020,EPI_ISL_419761,GISAID, ,Complete,29878,High,0/0/6/0/NO,Homo Sapiens,2020-03-11,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC48/2020,EPI_ISL_419762,GISAID, ,Complete,29866,High,0/1/7/0/NO,Homo Sapiens,2020-03-12,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC43/2020,EPI_ISL_419763,GISAID, ,Complete,29865,High,"3/0/8/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-11,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC49/2020,EPI_ISL_419764,GISAID, ,Complete,29893,High,10/0/7/0/NO,Homo Sapiens,2020-03-12,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC36/2020,EPI_ISL_419765,GISAID, ,Complete,29885,High,0/0/5/0/NO,Homo Sapiens,2020-03-10,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC50/2020,EPI_ISL_419766,GISAID, ,Complete,29873,High,0/0/6/0/NO,Homo Sapiens,2020-03-12,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC44/2020,EPI_ISL_419767,GISAID, ,Complete,29865,High,0/0/5/0/NO,Homo Sapiens,2020-03-11,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC52/2020,EPI_ISL_419768,GISAID, ,Complete,29865,High,"0/0/10/0/28881~28883(3-3-1.00,SNP:28881; SNP:28882; SNP:28883)",Homo Sapiens,2020-03-12,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC53/2020,EPI_ISL_419769,GISAID, ,Complete,29865,High,0/0/11/0/NO,Homo Sapiens,2020-03-12,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC54/2020,EPI_ISL_419770,GISAID, ,Complete,29891,High,0/0/5/0/NO,Homo Sapiens,2020-03-12,Australia / Victoria,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",2020-04-03,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
